Company,Amount ($M),Date,HQ,Sector,Series,Source
https://leapfinance.com/,$100.00,05/03/2025,Bengaluru,Lending - Education,Debt,https://entrackr.com/news/leap-finance-raises-100-mn-debt-from-hsbc-8796378
https://www.arva.health/,$1.00,03/03/2025,Bengaluru,Healthcare - Fertility Care,Pre-Seed,https://entrackr.com/snippets/arva-health-raises-1-mn-in-pre-seed-led-by-all-in-capital-8773513
https://darwinbox.com/,$140.00,05/03/2025,Hyderabad,HR Tech,,https://entrackr.com/news/darwinbox-raises-140-mn-co-led-by-partners-group-and-kkr-8795904
https://www.insurancedekho.com/,$70.00,04/03/2025,Gurugram,Insurance Tech,,https://entrackr.com/news/beams-fintech-fund-leads-70-mn-round-in-insurancedekho-8776738
https://nuuk.in/,$5.00,05/03/2025,Gurugram,Consumer Electronics,Series A,https://entrackr.com/snippets/nuuk-raises-5-mn-in-series-a-round-led-by-vertex-ventures-8795487
https://fluxgen.com/,$3.22,04/03/2025,Bengaluru,Climate Tech,Pre-Series A,https://entrackr.com/snippets/climate-tech-startup-fluxgen-raises-rs-28-cr-in-pre-series-a-8777160
https://credresolve.com/,$1.10,03/03/2025,Bengaluru,Fintech,Seed,https://entrackr.com/snippets/credresolve-raises-11-mn-in-seed-round-8773410
https://www.zetwerk.com/,$5.00,05/03/2025,Bengaluru,B2B Manufacturing,,https://inc42.com/buzz/exclusive-zetwerk-raises-inr-43-cr-ahead-of-ipo/
https://gainhub.ai/,$0.10,06/03/2025,Delhi,SaaS,,https://entrackr.com/snippets/gainhubai-bags-100k-in-pre-series-bridge-round-8827135
https://pandasbox.in/,$0.12,04/03/2025,Delhi,Toys,,https://entrackr.com/snippets/pandas-box-divine-hindu-and-blep-petcare-get-funding-at-elevate-demo-day-8777526
https://deciml.in/,$3.00,04/03/2025,Pune,Fintech - Investment,Seed,https://entrackr.com/snippets/round-up-investing-platform-deciml-raises-3-mn-is-seed-round-8776381
https://www.dotme.in/,$0.15,04/03/2025,Bengaluru,Link in Bio,,https://entrackr.com/snippets/dotme-bags-150k-from-jimmys-cocktails-mirza-l-baig-8776269
https://blepworld.com/,$0.12,04/03/2025,Delhi,Petcare,,https://entrackr.com/snippets/pandas-box-divine-hindu-and-blep-petcare-get-funding-at-elevate-demo-day-8777526
https://www.divinehindu.in/,$0.12,04/03/2025,Gurugram,Religious Products,,https://entrackr.com/snippets/pandas-box-divine-hindu-and-blep-petcare-get-funding-at-elevate-demo-day-8777526
https://www.getrezolv.com/,$3.50,04/03/2025,Mumbai,Debt Resolution Platform,Seed,https://entrackr.com/snippets/kissht-co-founders-startup-rezolv-raises-35-mn-in-seed-round-8777381
silagroup,,04/03/2025,Mumbai,Real Estate,Unknown,https://entrackr.com/snippets/ms-dhoni-family-office-invests-in-real-estate-platform-sila-8777883,
https://www.phot.ai/,$2.70,06/03/2025,Gurugram,AI driven creative automation,Seed,https://entrackr.com/snippets/photai-raises-27-mn-to-automate-e-commerce-creative-design-8817121
