Company,Amount ($M),Date,HQ,Sector,Series,Source
coluxe,,04/02/2025,Delhi,Lab grown diamond,Unknown,https://entrackr.com/snippets/priyanka-gills-lab-grown-diamond-brand-coluxe-raises-angel-funding-8688430,
supergaming,,04/02/2025,Pune,Gaming,Unknown,https://inc42.com/buzz/bandai-namco-doubles-down-on-supergaming/,
https://www.getastra.com/,$2.70,05/02/2025,Delhi,Cybersecurity,,https://inc42.com/buzz/astra-security-bags-2-7-mn-to-offer-cybersecurity-solutions-to-enterprises/
https://www.dfi-india.com/,$1.40,05/02/2025,Bengaluru,Drone battery,Seed,https://entrackr.com/snippets/dreamfly-innovations-raises-rs-12-cr-in-seed-round-8694299
https://www.presentations.ai/,$3.00,04/02/2025,Bengaluru,AI,Seed,https://inc42.com/buzz/presentations-ai-bags-3-mn-to-roll-out-worlds-first-ai-powered-presentation-agent/
https://nuawoman.com/,$4.00,06/02/2025,Mumbai,Women’s wellness and hygiene,Pre-Series C,https://entrackr.com/snippets/deepika-padukone-backed-wellness-brand-nua-raises-rs-35-cr-8695456
https://www.presageinsights.ai/,$0.64,05/02/2025,Delhi,IoT and AI,Seed,https://entrackr.com/snippets/presage-insights-raises-seed-funding-round-8692558
https://babynama.com/,$0.70,06/02/2025,Delhi,Healthtech,Seed,https://entrackr.com/snippets/healthtech-startup-babynama-raises-700k-led-by-good-capital-8694916
https://mealawe.com/,$1.00,05/02/2025,Pune,Homemade food delivery,,https://entrackr.com/snippets/foodtech-startup-mealawe-raises-1-mn-in-new-round-8692490
https://www.auxilo.com/,$5.75,07/02/2025,Mumbai,NBFC - Education,Debt,https://entrackr.com/exclusive/exclusive-motilal-oswal-invests-in-edtech-focused-nbfc-auxilo-8698681
https://www.cashfree.com/,$53.00,05/02/2025,Bengaluru,Fintech - Payments,Series C,https://entrackr.com/news/cashfree-payments-raises-53-mn-led-by-krafton-8690967
https://origamis.ai/,$0.50,05/02/2025,Bengaluru,GenAI,Seed,https://entrackr.com/snippets/genai-startup-origamis-ai-raises-500k-in-seed-round-8692523
https://www.quicklend.in/,$0.77,05/02/2025,Bengaluru,Fintech - lending against mutual funds,Pre-Seed,https://entrackr.com/snippets/quicklend-raises-rs-675-cr-in-pre-seed-round-8691890
https://www.hairoriginals.com/,$5.00,05/02/2025,Gurugram,D2C Hair Extensions,Series A,https://entrackr.com/snippets/hairoriginals-raises-5-mn-in-series-a-round-led-by-anicut-and-12-flags-8691637
https://playsuper.club/,$0.50,06/02/2025,Delhi,Gaming commerce,Seed,https://entrackr.com/snippets/playsuper-raises-500k-in-seed-round-led-by-ian-group-and-100xvc-8695102
https://fitspire.online/,$1.00,05/02/2025,Delhi,Health and Nutrition,Bridge Round for Series A,https://entrackr.com/snippets/nutrition-brand-fitspire-raises-1-mn-in-pre-series-a-round-8692614
https://eduvanz.com/,$2.90,08/02/2025,Mumbai,Lending - Education,Bridge,https://entrackr.com/exclusive/exclusive-eduvanz-secures-bridge-round-at-35-lower-valuation-8702252
https://www.legup.in/,$0.23,07/02/2025,Bengaluru,Care giving,Pre-Seed,https://entrackr.com/snippets/caregiving-tech-startup-legup-raises-rs-2-cr-pre-seed-funding-8698887
