Company,Amount ($M),Date,HQ,Sector,Series,Source
https://investorai.in/,$10.00,22/08/2024,Bengaluru,Wealthtech,Series A,https://entrackr.com/2024/08/wealthtech-platform-investorai-raises-rs-80-cr-in-series-a-round/
https://hangyo.in/,$25.00,22/08/2024,Mangaluru,Ice Cream Brand,,https://entrackr.com/2024/08/ice-cream-brand-hangyo-scoops-up-25-mn-from-faering-capital/
https://zofffoods.com/,$4.80,21/08/2024,Raipur,D2C Spice Brand,Series A,https://entrackr.com/2024/08/spice-brand-zoff-raises-rs-40-cr-in-series-a-from-jm-financial/
https://dopplr.digital/,$0.75,22/08/2024,Bengaluru,Virtual Tryon Solution for Clothing,,https://entrackr.com/2024/08/dopplr-raises-750k-from-cornerstone-ventures/
https://uppercase.co.in/,$9.00,21/08/2024,Mumbai,D2C Luggage Brand,Series B,https://entrackr.com/2024/08/d2c-luggage-brand-uppercase-raises-9-mn-led-by-accel/
https://www.bengaws.com/,$3.00,23/08/2024,Delhi,Manufacturing,Pre-Series A,https://entrackr.com/2024/08/fabrication-bazar-raises-3-mn-in-pre-series-a/
https://www.llumo.ai/,$1.00,21/08/2024,Noida,AI,Seed,https://entrackr.com/2024/08/senseai-ventures-leads-1-mn-round-in-llumo-ai/
https://axio.co.in/,$20.00,23/08/2024,Bengaluru,Fintech - Lending,,https://entrackr.com/2024/08/amazon-backed-axio-raises-20-mn-via-right-issue/
https://www.revrag.ai/,$0.60,21/08/2024,Bengaluru,B2B Sales Platform,Pre-Seed,https://entrackr.com/2024/08/b2b-sales-startup-revrag-raises-600k-in-pre-seed-funding/
nxtqube,,21/08/2024,Nasik,Drone Infrastructure,Unknown,https://yourstory.com/2024/08/startup-news-update-daily-roundup-august-21-2024,
https://acadru.com/,$0.50,23/08/2024,Gurugram,SaaS - Edtech,Pre-Series A,https://entrackr.com/2024/08/saas-startup-acadru-raises-pre-series-a-round/
https://even.in/,$20.00,21/08/2024,Bengaluru,Healthcare,,https://entrackr.com/2024/08/exclusive-even-healthcare-raises-20-mn-led-by-khosla-venture/
https://www.llct20.com/,$4.64,23/08/2024,Delhi,Sports,,https://entrackr.com/2024/08/legends-league-cricket-raises-rs-39-cr-from-dubai-based-brickwork/
https://www.bluestone.com/,$107.00,22/08/2024,Bengaluru,D2C Jewellery Brand,Pre-IPO,https://economictimes.indiatimes.com/tech/startups/bluestone-closes-rs-900-crore-pre-ipo-round-at-970-million-valuation/articleshow/112688565.cms?from=mdr
https://transbnk.co.in/,$4.00,21/08/2024,Mumbai,Fintech,Series A,https://entrackr.com/2024/08/8i-ventures-leads-4-mn-series-a-round-in-transbnk/
